_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
johann-van-zyl,Johann van Zyl,1991,190.0,South Africa,70.81818181818181,11,19.94459833795014,Africa
robert-hunter,Robert  Hunter,1977,178.0,South Africa,117.95970695970696,273,22.724403484408533,Africa
anass-ait-el-abdia,Anass  Aït El Abdia,1993,180.0,Morocco,60.691489361702125,564,20.37037037037037,Africa
negasi-abreha,Negasi Haylu  Abreha,2000,186.0,Ethiopia,103.79295154185021,227,21.216325586773035,Africa
ryan-cox,Ryan  Cox,1979,177.0,South Africa,44.64009111617312,439,19.789970953429727,Africa
nick-dougall,Nic  Dougall,1992,192.0,South Africa,63.40384615384615,364,19.53125,Africa
dan-craven,Dan  Craven,1983,184.0,Namibia,33.395833333333336,144,22.152646502835537,Africa
henok-mulubrhan,Henok  Mulubrhan,1999,176.0,Eritrea,49.53757225433526,346,19.369834710743802,Africa
amanuel-ghebreigzabhier,Amanuel  Ghebreigzabhier,1994,187.0,Eritrea,26.225978647686834,562,19.445794846864363,Africa
ian-mcleod,Ian  McLeod,1980,177.0,South Africa,125.42857142857143,14,21.06674327300584,Africa
jaco-venter,Jaco  Venter,1987,190.0,South Africa,52.260475651189125,883,19.390581717451525,Africa
mekseb-debesay,Mekseb  Debesay,1991,182.0,Eritrea,60.22790697674419,430,19.32133800265668,Africa
natnael-tesfatsion,Natnael  Tesfatsion,1999,175.0,Eritrea,104.73,100,19.591836734693878,Africa
willie-smit,Willie  Smit,1992,180.0,South Africa,57.367729831144466,533,22.22222222222222,Africa
tiaan-kannemeyer,Tiaan  Kannemeyer,1978,182.0,South Africa,110.0,5,20.227025721531216,Africa
reinardt-janse-van-rensburg,Reinardt  Janse van Rensburg,1989,182.0,South Africa,41.89473684210526,19,22.34029706557179,Africa
louis-meintjes,Louis  Meintjes,1992,173.0,South Africa,53.993299832495815,597,19.37919743392696,Africa
daryl-impey,Daryl  Impey,1984,181.0,South Africa,101.67091836734694,392,21.97735111870822,Africa
stefan-de-bod,Stefan de Bod,1996,183.0,South Africa,57.142857142857146,14,19.70796380901191,Africa
tarik-chaoufi,Tarik  Chaoufi,1986,174.0,Morocco,63.90243902439025,41,21.469150482230148,Africa
john-lee-augustyn,John-Lee  Augustyn,1986,178.0,South Africa,84.86575875486382,514,20.515086478979924,Africa
biniam-girmay,Biniam  Girmay,2000,184.0,Eritrea,84.04093567251462,171,20.6758034026465,Africa
youcef-reguigui,Youcef  Reguigui,1990,172.0,Algeria,84.34848484848484,132,23.323418063818284,Africa
merhawi-kudus,Merhawi  Kudus,1994,173.0,Eritrea,64.45161290322581,341,19.37919743392696,Africa
rafaa-chtioui,Rafaâ  Chtioui,1986,190.0,Tunisia,68.38526912181302,353,22.714681440443215,Africa
tsgabu-gebremaryam-grmay,Tsgabu  Grmay,1991,175.0,Ethiopia,60.480716253443525,726,20.571428571428573,Africa
jacques-janse-van-rensburg,Jacques  Janse van Rensburg,1987,175.0,South Africa,69.39915966386555,238,20.571428571428573,Africa
omar-el-gouzi,Omar El Gouzi,1999,181.0,Morocco,33.77902621722846,534,17.70397729007051,Africa
adrien-niyonshuti,Adrien  Niyonshuti,1987,175.0,Rwanda,104.23157894736842,95,20.571428571428573,Africa
welay-hagos-berhe,Welay Hagos  Berhe,2001,170.0,Ethiopia,97.20408163265306,294,20.06920415224914,Africa
ryan-gibbons,Ryan  Gibbons,1994,182.0,South Africa,113.00790513833992,253,21.132713440405748,Africa
daniel-teklehaimanot,Daniel  Teklehaimanot,1988,188.0,Eritrea,50.875,152,19.805341783612494,Africa
david-george,David  George,1976,177.0,South Africa,72.72894736842105,380,19.4707778735357,Africa
natnael-berhane,Natnael  Berhane,1991,182.0,Eritrea,68.5925925925926,405,19.925129815239703,Africa
