_url,name,birth_year,height,nationality,avg_pos,num_races,BMI,continent
bruno-surra,Bruno  Surra,1964.0,,Italy,16.09220985691574,629,,Europe
gerard-rue,Gérard  Rué,1965.0,182.0,France,48.15129151291513,271,22.34029706557179,Europe
jan-maas,Jan  Maas,1996.0,189.0,Netherlands,47.23972602739726,146,19.31636852271773,Europe
nathan-van-hooydonck,Nathan Van Hooydonck,1995.0,192.0,Belgium,16.145833333333332,48,21.158854166666668,Europe
jose-felix-parra,José Félix  Parra,1997.0,171.0,Spain,33.248275862068965,145,18.80920625149619,Europe
manuel-penalver,Manuel  Peñalver,1998.0,177.0,Spain,29.43548387096774,62,21.38593635289987,Europe
willy-moonen,Willy  Moonen,1947.0,,Belgium,42.51485148514851,101,,Europe
chad-haga,Chad  Haga,1988.0,191.0,United States,39.34285714285714,35,19.599243441791618,North America
joost-van-leijen,Joost van Leijen,1984.0,192.0,Netherlands,45.51977401129943,177,19.80251736111111,Europe
scott-davies,Scott  Davies,1995.0,,Britain,54.19553072625698,179,,Europe
stian-remme,Stian  Remme,1982.0,,Norway,20.308823529411764,68,,Europe
jose-angel-gomez-marchante,José Ángel  Gómez Marchante,1980.0,175.0,Spain,25.095238095238095,42,19.591836734693878,Europe
giuseppe-guerini,Giuseppe  Guerini,1970.0,178.0,Italy,64.50434782608696,230,20.515086478979924,Europe
evgueny-anachkine,Evgueny  Anachkine,1970.0,,Russia,41.51851851851852,27,,Europe
maurizio-biondo,Maurizio  Biondo,1981.0,,Italy,38.470588235294116,34,,Europe
rony-martias,Rony  Martias,1980.0,181.0,France,49.25,180,21.672110130948383,Europe
eloy-teruel,Eloy  Teruel,1982.0,181.0,Spain,50.411764705882355,51,22.282592106468055,Europe
julien-el-fares,Julien El Fares,1985.0,172.0,France,51.611111111111114,36,20.9572742022715,Europe
patrice-thevenard,Patrice  Thévenard,1954.0,,France,32.4792899408284,169,,Europe
michal-paluta,Michał  Paluta,1995.0,174.0,Poland,26.441176470588236,102,21.469150482230148,Europe
luc-suykerbuyk,Luc  Suykerbuyk,1964.0,,Netherlands,52.72222222222222,18,,Europe
fabien-grellier,Fabien  Grellier,1994.0,180.0,France,39.029411764705884,102,20.061728395061728,Europe
bernard-bourreau,Bernard  Bourreau,1951.0,164.0,France,57.13333333333333,45,23.423557406305775,Europe
volker-ordowski,Volker  Ordowski,1973.0,170.0,Germany,62.58974358974359,78,20.41522491349481,Europe
roy-schuiten,Roy  Schuiten,1950.0,184.0,Netherlands,17.169811320754718,265,24.515595463137995,Europe
graeme-brown,Graeme Allen  Brown,1979.0,180.0,Australia,27.52777777777778,144,23.456790123456788,Oceania
alain-gallopin,Alain  Gallopin,1957.0,,France,27.436781609195403,87,,Europe
phillip-gaimon,Phillip  Gaimon,1986.0,185.0,United States,28.96470588235294,85,19.576333089846603,North America
andrea-fedi,Andrea  Fedi,1991.0,184.0,Italy,56.98571428571429,70,20.6758034026465,Europe
urs-graf,Urs  Graf,1974.0,,Switzerland,39.11666666666667,180,,Europe
jean-claude-theilliere,Jean-Claude  Theillière,1944.0,,France,32.0337552742616,237,,Europe
paul-kimmage,Paul  Kimmage,1962.0,,Ireland,73.94444444444444,18,,Europe
piotr-przydzial,Piotr  Przydział,1974.0,186.0,Poland,38.8942731277533,227,23.12406058503873,Europe
alessandro-vanotti,Alessandro  Vanotti,1980.0,185.0,Italy,52.544642857142854,112,20.45288531775018,Europe
anthony-perez,Anthony  Perez,1991.0,190.0,France,43.28735632183908,87,19.390581717451525,Europe
morten-hulgaard,Morten  Hulgaard,1998.0,181.0,Denmark,38.38509316770186,161,22.282592106468055,Europe
andreas-dietziker,Andreas  Dietziker,1982.0,179.0,Switzerland,36.455414012738856,314,20.91070815517618,Europe
alejandro-paleo,Alejandro  Paleo,1981.0,,Spain,49.53757225433526,346,,Europe
thomas-gloag,Thomas  Gloag,2001.0,181.0,Great Britain,21.67032967032967,91,18.314459265590184,Europe
samuel-blanco,Samuel  Blanco,1994.0,,Spain,39.0,30,,Europe
