,_url,points,length,climb_total,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url,min_age_by_url
33,giro-d-italia/2003/stage-11,80,222000,168,1,734,2003,Spring,991.8343949044586,28.146496815286625,22
34,giro-d-italia/2003/stage-16,80,207000,791,1,734,2003,Spring,991.8343949044586,28.146496815286625,22
35,giro-d-italia/2003/stage-17,80,117000,489,1,734,2003,Spring,991.8343949044586,28.146496815286625,22
36,giro-d-italia/2003/stage-20,80,133000,1002,1,734,2003,Spring,991.8343949044586,28.146496815286625,22
39,giro-d-italia/2004/stage-12,80,210000,171,1,621,2004,Spring,991.8343949044586,28.146496815286625,22
40,giro-d-italia/2004/stage-15,80,234000,1355,1,621,2004,Spring,991.8343949044586,28.146496815286625,22
41,giro-d-italia/2004/stage-20,80,149000,266,1,621,2004,Spring,991.8343949044586,28.146496815286625,22
43,giro-d-italia/2005/stage-10,80,212000,230,1,929,2005,Spring,991.8343949044586,28.146496815286625,22
44,giro-d-italia/2005/stage-15,80,154000,950,1,929,2005,Spring,991.8343949044586,28.146496815286625,22
45,giro-d-italia/2005/stage-20,80,119000,366,1,929,2005,Spring,991.8343949044586,28.146496815286625,22
47,giro-d-italia/2006/stage-1,80,197000,1364,1,997,2006,Spring,991.8343949044586,28.146496815286625,22
48,giro-d-italia/2006/stage-10,50,50000,69,1,997,2006,Spring,991.8343949044586,28.146496815286625,22
49,giro-d-italia/2006/stage-14,80,189000,496,1,997,2006,Spring,991.8343949044586,28.146496815286625,22
50,giro-d-italia/2006/stage-20,80,140000,430,1,997,2006,Spring,991.8343949044586,28.146496815286625,22
51,giro-d-italia/2006/stage-5,80,227000,329,1,997,2006,Spring,991.8343949044586,28.146496815286625,22
52,giro-d-italia/2007/stage-18,80,208000,360,1,844,2007,Spring,991.8343949044586,28.146496815286625,22
54,giro-d-italia/2008/stage-12,80,169000,325,1,1058,2008,Spring,991.8343949044586,28.146496815286625,22
55,giro-d-italia/2008/stage-13,80,177000,202,1,1058,2008,Spring,991.8343949044586,28.146496815286625,22
57,giro-d-italia/2009/stage-13,80,176000,745,1,975,2009,Spring,991.8343949044586,28.146496815286625,22
58,giro-d-italia/2009/stage-2,80,156000,646,1,975,2009,Spring,991.8343949044586,28.146496815286625,22
60,giro-d-italia/2009/stage-9,80,155000,195,1,975,2009,Spring,991.8343949044586,28.146496815286625,22
62,giro-d-italia/2010/stage-2,80,209000,684,1,878,2010,Spring,991.8343949044586,28.146496815286625,22
63,giro-d-italia/2010/stage-3,80,224000,322,1,878,2010,Spring,991.8343949044586,28.146496815286625,22
64,giro-d-italia/2011/stage-12,80,184000,488,1,891,2011,Spring,573.5833333333334,27.3125,21
65,giro-d-italia/2011/stage-2,80,244000,944,1,891,2011,Spring,573.5833333333334,27.3125,21
68,giro-d-italia/2012/stage-13,80,121000,1740,1,886,2012,Spring,573.5833333333334,27.3125,21
69,giro-d-italia/2012/stage-18,80,149000,1009,1,886,2012,Spring,573.5833333333334,27.3125,21
70,giro-d-italia/2012/stage-2,80,206000,671,1,886,2012,Spring,573.5833333333334,27.3125,21
72,giro-d-italia/2012/stage-3,80,190000,1184,1,886,2012,Spring,573.5833333333334,27.3125,21
73,giro-d-italia/2012/stage-5,80,209000,842,1,886,2012,Spring,573.5833333333334,27.3125,21
74,giro-d-italia/2012/stage-9,80,166000,1298,1,886,2012,Spring,573.5833333333334,27.3125,21
75,giro-d-italia/2013/stage-1,80,130000,1114,1,930,2013,Spring,573.5833333333334,27.3125,21
76,giro-d-italia/2013/stage-12,80,134000,1064,1,930,2013,Spring,573.5833333333334,27.3125,21
77,giro-d-italia/2013/stage-13,80,254000,1897,1,930,2013,Spring,573.5833333333334,27.3125,21
