stage,race,points,length,profile,startlist_quality,year,season,Cluster,Distance_to_Centroid
result,amstel-gold-race,225,258600,3.0,1105,2009,Spring,3,1.734533298390079
result,amstel-gold-race,225,256500,2.0,1251,2012,Spring,3,1.6711343089876618
result,amstel-gold-race,225,251800,2.0,1149,2013,Spring,3,1.5771250755333612
result,amstel-gold-race,225,251400,2.0,1140,2014,Spring,3,1.5861986619448472
result,amstel-gold-race,225,258000,3.0,1175,2015,Spring,3,1.8273561638706268
result,amstel-gold-race,225,248700,2.0,1120,2016,Spring,3,1.6144086165111111
result,amstel-gold-race,225,261000,2.0,949,2017,Spring,3,1.6330261990642345
result,amstel-gold-race,225,263000,2.0,1139,2018,Spring,3,1.7194854086583884
result,amstel-gold-race,225,265700,2.0,1020,2019,Spring,3,1.717583189505211
result,amstel-gold-race,225,218600,2.0,1089,2021,Spring,3,1.8068629698407261
result,amstel-gold-race,225,254100,2.0,705,2022,Spring,3,1.9545795521728648
result,amstel-gold-race,225,253600,2.0,770,2023,Spring,3,1.9413074688378704
prologue,dauphine,50,6800,2.0,673,2010,Summer,2,2.1345862230312678
stage-5,dauphine,50,210500,5.0,673,2010,Summer,5,1.9324924378342632
stage-7,dauphine,50,151500,5.0,673,2010,Summer,5,1.869221960168288
prologue,dauphine,50,5400,1.0,958,2011,Summer,2,1.8250066758764651
stage-1,dauphine,50,144000,2.0,958,2011,Summer,5,1.841876967476907
stage-2,dauphine,50,179000,3.0,958,2011,Summer,5,1.8260314371793833
stage-3,dauphine,50,42500,1.0,958,2011,Summer,2,1.8786085178531593
stage-4,dauphine,50,173500,1.0,958,2011,Summer,5,1.8332861692729627
stage-5,dauphine,50,210000,5.0,958,2011,Summer,5,1.8136647430594215
stage-6,dauphine,50,192500,5.0,958,2011,Summer,5,1.7492758810659548
stage-7,dauphine,50,117500,5.0,958,2011,Summer,5,1.9258702310394324
prologue,dauphine,50,5700,1.0,1117,2012,Summer,2,1.9061902357871796
stage-1,dauphine,50,187000,2.0,1117,2012,Summer,5,1.865107153250263
stage-2,dauphine,50,160000,3.0,1117,2012,Summer,5,1.8949815298832486
stage-3,dauphine,50,167000,2.0,1117,2012,Summer,5,1.8218719123610627
stage-4,dauphine,50,53500,1.0,1117,2012,Summer,2,1.9742835892132322
stage-5,dauphine,50,186500,5.0,1117,2012,Summer,5,1.7912356089444388
stage-6,dauphine,50,167500,5.0,1117,2012,Summer,5,1.7863723030394465
stage-7,dauphine,50,124500,5.0,1117,2012,Summer,5,1.9385940680077856
stage-1,dauphine,50,121000,2.0,985,2013,Summer,5,1.9387379022922953
stage-2,dauphine,50,183000,2.0,985,2013,Summer,5,1.7337100611008611
stage-3,dauphine,50,167000,2.0,985,2013,Summer,5,1.7294210877422171
stage-4,dauphine,50,32500,1.0,985,2013,Summer,2,1.8739034744124108
stage-5,dauphine,50,139000,5.0,985,2013,Summer,5,1.7626093038623156
stage-6,dauphine,50,143000,4.0,985,2013,Summer,5,1.888861633393143
stage-7,dauphine,50,184000,5.0,985,2013,Summer,5,1.6996784215903233
stage-8,dauphine,50,152000,5.0,985,2013,Summer,5,1.7352585886461023
stage-1,dauphine,50,10400,1.0,941,2014,Summer,2,1.8537411928192802
stage-2,dauphine,50,156000,5.0,941,2014,Summer,5,1.6769955713710707
stage-3,dauphine,50,194000,2.0,941,2014,Summer,5,1.7402160150960486
stage-4,dauphine,50,169500,2.0,941,2014,Summer,5,1.7153480825222283
stage-5,dauphine,50,184000,2.0,941,2014,Summer,5,1.714172607143973
stage-6,dauphine,50,178500,2.0,941,2014,Summer,5,1.7153714472056945
stage-7,dauphine,50,160000,5.0,941,2014,Summer,5,1.6772516522547827
stage-8,dauphine,50,130500,5.0,941,2014,Summer,5,1.8086713083028332
stage-1,dauphine,50,132000,2.0,997,2015,Summer,5,1.8577136472839724
stage-2,dauphine,50,173000,2.0,997,2015,Summer,5,1.7098241721988336
stage-4,dauphine,50,228000,2.0,997,2015,Summer,5,1.9387756092618302
stage-5,dauphine,50,161000,5.0,997,2015,Summer,5,1.6753581529024797
stage-6,dauphine,50,183000,5.0,997,2015,Summer,5,1.6837233293055784
stage-7,dauphine,50,155000,5.0,997,2015,Summer,5,1.6956721217462563
stage-8,dauphine,50,156500,5.0,997,2015,Summer,5,1.708150854695317
prologue,dauphine,50,4000,5.0,1182,2016,Summer,2,2.274565073916263
stage-1,dauphine,50,186000,2.0,1182,2016,Summer,5,1.8872790759704556
stage-2,dauphine,50,168000,3.0,1182,2016,Summer,5,1.9100724507189033
stage-3,dauphine,50,187500,2.0,1182,2016,Summer,5,1.8609219383330462
stage-4,dauphine,50,176000,3.0,1182,2016,Summer,5,1.9209671976270455
stage-5,dauphine,50,140000,5.0,1182,2016,Summer,5,1.8732385926041135
stage-6,dauphine,50,141000,5.0,1182,2016,Summer,5,1.8768432058910811
stage-7,dauphine,50,151000,3.0,1182,2016,Summer,5,1.9460613429754434
stage-1,dauphine,50,170000,2.0,1024,2017,Summer,5,1.752738836146931
stage-2,dauphine,50,171000,2.0,1024,2017,Summer,5,1.7183915598681725
stage-3,dauphine,50,184000,2.0,1024,2017,Summer,5,1.7311228869685842
stage-4,dauphine,50,23500,1.0,1024,2017,Summer,2,1.971921923927375
stage-5,dauphine,50,175000,2.0,1024,2017,Summer,5,1.720133332234046
stage-6,dauphine,50,145500,4.0,1024,2017,Summer,5,1.873276173473738
stage-7,dauphine,50,167500,5.0,1024,2017,Summer,5,1.6838584256995124
stage-8,dauphine,50,115000,5.0,1024,2017,Summer,5,1.927321781057999
prologue,dauphine,50,6600,1.0,762,2018,Summer,2,2.0058449921103083
stage-1,dauphine,50,179000,4.0,762,2018,Summer,5,1.8653541844719175
stage-2,dauphine,50,181000,4.0,762,2018,Summer,5,1.8355244751691473
stage-4,dauphine,50,181000,5.0,762,2018,Summer,5,1.7078403933928903
stage-5,dauphine,50,130000,5.0,762,2018,Summer,5,1.8193139830062786
stage-6,dauphine,50,110000,5.0,762,2018,Summer,5,1.9671130202806713
stage-7,dauphine,50,136000,5.0,762,2018,Summer,5,1.7932969505227818
stage-1,dauphine,50,142000,4.0,973,2019,Summer,5,1.902770340108236
stage-2,dauphine,50,180000,2.0,973,2019,Summer,5,1.7159759535720092
stage-3,dauphine,50,177000,2.0,973,2019,Summer,5,1.7156112595264277
stage-4,dauphine,50,26100,2.0,973,2019,Summer,2,2.222250171045994
