_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year
amstel-gold-race/1970/result,result,amstel-gold-race,1970-04-25,225,240000,,,372,1970
amstel-gold-race/1971/result,result,amstel-gold-race,1971-03-28,225,233000,,,523,1971
amstel-gold-race/1972/result,result,amstel-gold-race,1972-03-26,225,237000,,,339,1972
amstel-gold-race/1973/result,result,amstel-gold-race,1973-04-07,225,238000,,,441,1973
amstel-gold-race/1974/result,result,amstel-gold-race,1974-04-13,225,238000,,,389,1974
amstel-gold-race/1975/result,result,amstel-gold-race,1975-03-29,225,238000,,,301,1975
amstel-gold-race/1976/result,result,amstel-gold-race,1976-03-27,225,230000,,,443,1976
amstel-gold-race/1977/result,result,amstel-gold-race,1977-04-09,225,230000,,,874,1977
amstel-gold-race/1978/result,result,amstel-gold-race,1978-03-25,225,230000,,,510,1978
amstel-gold-race/1979/result,result,amstel-gold-race,1979-04-14,225,237000,,,393,1979
amstel-gold-race/1980/result,result,amstel-gold-race,1980-04-05,225,238000,,,698,1980
amstel-gold-race/1981/result,result,amstel-gold-race,1981-04-02,225,237000,,,807,1981
amstel-gold-race/1982/result,result,amstel-gold-race,1982-04-24,225,237000,,,513,1982
amstel-gold-race/1983/result,result,amstel-gold-race,1983-04-23,225,242000,,,637,1983
amstel-gold-race/1984/result,result,amstel-gold-race,1984-04-21,225,247000,,,451,1984
amstel-gold-race/1985/result,result,amstel-gold-race,1985-04-27,225,242000,,,281,1985
amstel-gold-race/1986/result,result,amstel-gold-race,1986-04-26,225,242000,,,471,1986
amstel-gold-race/1987/result,result,amstel-gold-race,1987-04-25,225,242000,,,488,1987
amstel-gold-race/1988/result,result,amstel-gold-race,1988-04-23,225,242000,,,829,1988
amstel-gold-race/1989/result,result,amstel-gold-race,1989-04-22,225,242000,,,1061,1989
amstel-gold-race/1990/result,result,amstel-gold-race,1990-04-21,225,249000,,,1030,1990
amstel-gold-race/1991/result,result,amstel-gold-race,1991-04-27,225,244000,,,1254,1991
amstel-gold-race/1992/result,result,amstel-gold-race,1992-04-25,225,247500,,,959,1992
amstel-gold-race/1993/result,result,amstel-gold-race,1993-04-24,225,249000,,,917,1993
amstel-gold-race/1994/result,result,amstel-gold-race,1994-04-23,225,250000,,,666,1994
amstel-gold-race/1995/result,result,amstel-gold-race,1995-04-22,225,256000,,,758,1995
amstel-gold-race/1996/result,result,amstel-gold-race,1996-04-27,225,253000,,,1044,1996
amstel-gold-race/1997/result,result,amstel-gold-race,1997-04-26,225,258000,,,1154,1997
amstel-gold-race/1998/result,result,amstel-gold-race,1998-04-25,225,257300,,,1476,1998
amstel-gold-race/1999/result,result,amstel-gold-race,1999-04-24,225,253000,,,1404,1999
amstel-gold-race/2000/result,result,amstel-gold-race,2000-04-22,225,257000,,,1352,2000
amstel-gold-race/2001/result,result,amstel-gold-race,2001-04-28,225,257000,,,1115,2001
amstel-gold-race/2002/result,result,amstel-gold-race,2002-04-28,225,254400,,,977,2002
amstel-gold-race/2003/result,result,amstel-gold-race,2003-04-20,225,250700,,,1329,2003
amstel-gold-race/2004/result,result,amstel-gold-race,2004-04-18,225,251100,,,1208,2004
amstel-gold-race/2005/result,result,amstel-gold-race,2005-04-17,225,251100,,,1178,2005
amstel-gold-race/2006/result,result,amstel-gold-race,2006-04-16,225,253100,,,1019,2006
amstel-gold-race/2007/result,result,amstel-gold-race,2007-04-22,225,253100,,,1004,2007
amstel-gold-race/2008/result,result,amstel-gold-race,2008-04-20,225,257400,,,1045,2008
