_url,stage,race,date,points,length,climb_total,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url,min_age_by_url
dauphine/2011/prologue,prologue,dauphine,2011-06-05,50,5400,58,1,958,2011,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2011/stage-3,stage-3,dauphine,2011-06-08,50,42500,732,1,958,2011,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2011/stage-4,stage-4,dauphine,2011-06-09,50,173500,1647,1,958,2011,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2012/prologue,prologue,dauphine,2012-06-03,50,5700,11,1,1117,2012,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2012/stage-4,stage-4,dauphine,2012-06-07,50,53500,399,1,1117,2012,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2013/stage-4,stage-4,dauphine,2013-06-05,50,32500,152,1,985,2013,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2014/stage-1,stage-1,dauphine,2014-06-08,50,10400,84,1,941,2014,Summer,1508.7878787878788,28.703030303030303,22
dauphine/2017/stage-4,stage-4,dauphine,2017-06-07,50,23500,321,1,1024,2017,Summer,38.45161290322581,29.761290322580646,22
dauphine/2018/prologue,prologue,dauphine,2018-06-03,50,6600,30,1,762,2018,Summer,38.45161290322581,29.761290322580646,22
dauphine/2022/stage-4,stage-4,dauphine,2022-06-08,50,31900,96,1,789,2022,Summer,38.45161290322581,29.761290322580646,22
giro-d-italia/1992/prologue,prologue,giro-d-italia,1992-05-24,80,8000,70,1,953,1992,Spring,57.436974789915965,28.22689075630252,22
giro-d-italia/1995/stage-17,stage-17,giro-d-italia,1995-05-30,80,43000,1230,1,1365,1995,Spring,57.436974789915965,28.22689075630252,22
giro-d-italia/1995/stage-2,stage-2,giro-d-italia,1995-05-14,80,19000,258,1,1365,1995,Spring,57.436974789915965,28.22689075630252,22
giro-d-italia/1996/stage-1,stage-1,giro-d-italia,1996-05-18,80,170000,1355,1,1034,1996,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/1997/stage-1,stage-1,giro-d-italia,1997-05-17,80,128000,127,1,792,1997,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/1998/prologue,prologue,giro-d-italia,1998-05-16,80,7000,11,1,923,1998,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2000/prologue,prologue,giro-d-italia,2000-05-13,80,4600,26,1,866,2000,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2000/stage-11,stage-11,giro-d-italia,2000-05-24,80,42000,23,1,866,2000,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2000/stage-16,stage-16,giro-d-italia,2000-05-30,80,102000,527,1,866,2000,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2000/stage-21,stage-21,giro-d-italia,2000-06-04,80,198000,267,1,866,2000,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/prologue,prologue,giro-d-italia,2001-05-19,80,7600,6,1,920,2001,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-12,stage-12,giro-d-italia,2001-05-31,80,139000,345,1,920,2001,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-15,stage-15,giro-d-italia,2001-06-03,80,55500,540,1,920,2001,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-16,stage-16,giro-d-italia,2001-06-04,80,142000,259,1,920,2001,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-19,stage-19,giro-d-italia,2001-06-08,80,163000,518,1,920,2001,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-21,stage-21,giro-d-italia,2001-06-10,80,121000,219,1,920,2001,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2001/stage-9,stage-9,giro-d-italia,2001-05-28,80,142000,153,1,920,2001,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2002/prologue,prologue,giro-d-italia,2002-05-11,80,6500,21,1,920,2002,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2002/stage-1,stage-1,giro-d-italia,2002-05-12,80,215000,452,1,920,2002,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2002/stage-14,stage-14,giro-d-italia,2002-05-26,80,30300,471,1,920,2002,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2002/stage-19,stage-19,giro-d-italia,2002-06-01,80,44300,364,1,920,2002,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2002/stage-20,stage-20,giro-d-italia,2002-06-02,80,142000,419,1,920,2002,Summer,1140.9634146341464,29.73780487804878,21
giro-d-italia/2003/stage-1,stage-1,giro-d-italia,2003-05-10,80,201000,1259,1,734,2003,Spring,1140.9634146341464,29.73780487804878,21
giro-d-italia/2003/stage-11,stage-11,giro-d-italia,2003-05-21,80,222000,168,1,734,2003,Spring,991.8343949044586,28.146496815286625,22
