_url,stage,race,date,points,length,profile,startlist_quality,year,season,avg_delta_by_url,avg_age_by_url
amstel-gold-race/1970/result,result,amstel-gold-race,1970-04-25,225,240000,,372,1970,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1971/result,result,amstel-gold-race,1971-03-28,225,233000,,523,1971,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1972/result,result,amstel-gold-race,1972-03-26,225,237000,,339,1972,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1973/result,result,amstel-gold-race,1973-04-07,225,238000,,441,1973,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1974/result,result,amstel-gold-race,1974-04-13,225,238000,,389,1974,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1975/result,result,amstel-gold-race,1975-03-29,225,238000,,301,1975,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1976/result,result,amstel-gold-race,1976-03-27,225,230000,,443,1976,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1977/result,result,amstel-gold-race,1977-04-09,225,230000,,874,1977,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1978/result,result,amstel-gold-race,1978-03-25,225,230000,,510,1978,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1979/result,result,amstel-gold-race,1979-04-14,225,237000,,393,1979,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1980/result,result,amstel-gold-race,1980-04-05,225,238000,,698,1980,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1981/result,result,amstel-gold-race,1981-04-02,225,237000,,807,1981,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1982/result,result,amstel-gold-race,1982-04-24,225,237000,,513,1982,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1983/result,result,amstel-gold-race,1983-04-23,225,242000,,637,1983,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1984/result,result,amstel-gold-race,1984-04-21,225,247000,,451,1984,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1985/result,result,amstel-gold-race,1985-04-27,225,242000,,281,1985,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1986/result,result,amstel-gold-race,1986-04-26,225,242000,,471,1986,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1987/result,result,amstel-gold-race,1987-04-25,225,242000,,488,1987,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1988/result,result,amstel-gold-race,1988-04-23,225,242000,,829,1988,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1989/result,result,amstel-gold-race,1989-04-22,225,242000,,1061,1989,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1990/result,result,amstel-gold-race,1990-04-21,225,249000,,1030,1990,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1991/result,result,amstel-gold-race,1991-04-27,225,244000,,1254,1991,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1992/result,result,amstel-gold-race,1992-04-25,225,247500,,959,1992,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1993/result,result,amstel-gold-race,1993-04-24,225,249000,,917,1993,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1994/result,result,amstel-gold-race,1994-04-23,225,250000,,666,1994,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1995/result,result,amstel-gold-race,1995-04-22,225,256000,,758,1995,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1996/result,result,amstel-gold-race,1996-04-27,225,253000,,1044,1996,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1997/result,result,amstel-gold-race,1997-04-26,225,258000,,1154,1997,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1998/result,result,amstel-gold-race,1998-04-25,225,257300,,1476,1998,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/1999/result,result,amstel-gold-race,1999-04-24,225,253000,,1404,1999,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2000/result,result,amstel-gold-race,2000-04-22,225,257000,,1352,2000,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2001/result,result,amstel-gold-race,2001-04-28,225,257000,,1115,2001,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2002/result,result,amstel-gold-race,2002-04-28,225,254400,,977,2002,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2003/result,result,amstel-gold-race,2003-04-20,225,250700,,1329,2003,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2004/result,result,amstel-gold-race,2004-04-18,225,251100,,1208,2004,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2005/result,result,amstel-gold-race,2005-04-17,225,251100,,1178,2005,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2006/result,result,amstel-gold-race,2006-04-16,225,253100,,1019,2006,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2007/result,result,amstel-gold-race,2007-04-22,225,253100,,1004,2007,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2008/result,result,amstel-gold-race,2008-04-20,225,257400,,1045,2008,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2009/result,result,amstel-gold-race,2009-04-19,225,258600,3.0,1105,2009,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2010/result,result,amstel-gold-race,2010-04-18,225,257000,,1012,2010,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2011/result,result,amstel-gold-race,2011-04-17,225,261000,,1086,2011,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2012/result,result,amstel-gold-race,2012-04-15,225,256500,2.0,1251,2012,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2013/result,result,amstel-gold-race,2013-04-14,225,251800,2.0,1149,2013,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2014/result,result,amstel-gold-race,2014-04-20,225,251400,2.0,1140,2014,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2015/result,result,amstel-gold-race,2015-04-19,225,258000,3.0,1175,2015,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2016/result,result,amstel-gold-race,2016-04-17,225,248700,2.0,1120,2016,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2017/result,result,amstel-gold-race,2017-04-16,225,261000,2.0,949,2017,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2018/result,result,amstel-gold-race,2018-04-15,225,263000,2.0,1139,2018,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2019/result,result,amstel-gold-race,2019-04-21,225,265700,2.0,1020,2019,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2021/result,result,amstel-gold-race,2021-04-18,225,218600,2.0,1089,2021,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2022/result,result,amstel-gold-race,2022-04-10,225,254100,2.0,705,2022,Spring,26.07547169811321,27.28301886792453
amstel-gold-race/2023/result,result,amstel-gold-race,2023-04-16,225,253600,2.0,770,2023,Spring,26.07547169811321,27.28301886792453
dauphine/1970/stage-5a,stage-5a,dauphine,1970-05-24,50,146000,,766,1970,Spring,26.07547169811321,27.28301886792453
dauphine/1970/stage-5b,stage-5b,dauphine,1970-05-24,50,34000,,766,1970,Spring,26.07547169811321,27.28301886792453
dauphine/1975/stage-1a,stage-1a,dauphine,1975-06-03,50,213000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-1b,stage-1b,dauphine,1975-06-03,50,93000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-2,stage-2,dauphine,1975-06-04,50,113000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-3,stage-3,dauphine,1975-06-05,50,207000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-4,stage-4,dauphine,1975-06-06,50,149000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-5,stage-5,dauphine,1975-06-07,50,216000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-6,stage-6,dauphine,1975-06-08,50,185000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-7a,stage-7a,dauphine,1975-06-08,50,153000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1975/stage-7b,stage-7b,dauphine,1975-06-09,50,30000,,889,1975,Summer,26.07547169811321,27.28301886792453
dauphine/1977/prologue,prologue,dauphine,1977-05-30,50,5000,,809,1977,Spring,26.07547169811321,27.28301886792453
dauphine/1977/stage-1,stage-1,dauphine,1977-05-31,50,228000,,809,1977,Spring,26.07547169811321,27.28301886792453
dauphine/1977/stage-2,stage-2,dauphine,1977-06-01,50,204000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-3,stage-3,dauphine,1977-06-02,50,186000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-4a,stage-4a,dauphine,1977-06-03,50,119000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-4b,stage-4b,dauphine,1977-06-03,50,129000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-5,stage-5,dauphine,1977-06-04,50,214000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-6,stage-6,dauphine,1977-06-05,50,192000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-7a,stage-7a,dauphine,1977-06-06,50,89000,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1977/stage-7b,stage-7b,dauphine,1977-06-06,50,36500,,809,1977,Summer,26.07547169811321,27.28301886792453
dauphine/1979/prologue,prologue,dauphine,1979-05-21,50,3600,,634,1979,Spring,26.07547169811321,27.28301886792453
dauphine/1983/prologue,prologue,dauphine,1983-05-30,50,4500,,621,1983,Spring,26.07547169811321,27.28301886792453
dauphine/1983/stage-1,stage-1,dauphine,1983-05-31,50,186000,,621,1983,Spring,26.07547169811321,27.28301886792453
dauphine/1983/stage-2a,stage-2a,dauphine,1983-06-01,50,54000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-2b,stage-2b,dauphine,1983-06-01,50,75000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-3,stage-3,dauphine,1983-06-02,50,228000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-4,stage-4,dauphine,1983-06-03,50,155000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-5,stage-5,dauphine,1983-06-04,50,243000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-6,stage-6,dauphine,1983-06-05,50,190000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-7a,stage-7a,dauphine,1983-06-06,50,93000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1983/stage-7b,stage-7b,dauphine,1983-06-06,50,33000,,621,1983,Summer,26.07547169811321,27.28301886792453
dauphine/1984/prologue,prologue,dauphine,1984-05-28,50,3300,,529,1984,Spring,26.07547169811321,27.28301886792453
dauphine/1984/stage-1a,stage-1a,dauphine,1984-05-29,50,102000,,529,1984,Spring,26.07547169811321,27.28301886792453
dauphine/1984/stage-1b,stage-1b,dauphine,1984-05-29,50,83000,,529,1984,Spring,26.07547169811321,27.28301886792453
dauphine/1984/stage-2,stage-2,dauphine,1984-05-30,50,202000,,529,1984,Spring,26.07547169811321,27.28301886792453
dauphine/1984/stage-3,stage-3,dauphine,1984-05-31,50,216000,,529,1984,Spring,26.07547169811321,27.28301886792453
dauphine/1984/stage-4,stage-4,dauphine,1984-06-01,50,192000,,529,1984,Summer,26.07547169811321,27.28301886792453
dauphine/1984/stage-5,stage-5,dauphine,1984-06-02,50,154000,,529,1984,Summer,26.07547169811321,27.28301886792453
dauphine/1984/stage-6,stage-6,dauphine,1984-06-03,50,178500,,529,1984,Summer,26.07547169811321,27.28301886792453
dauphine/1984/stage-7a,stage-7a,dauphine,1984-06-04,50,104000,,529,1984,Summer,26.07547169811321,27.28301886792453
dauphine/1984/stage-7b,stage-7b,dauphine,1984-06-04,50,32000,,529,1984,Summer,26.07547169811321,27.28301886792453
dauphine/1987/prologue,prologue,dauphine,1987-05-25,50,3000,,505,1987,Spring,26.07547169811321,27.28301886792453
dauphine/1987/stage-1,stage-1,dauphine,1987-05-26,50,202000,,505,1987,Spring,26.07547169811321,27.28301886792453
dauphine/1987/stage-3b,stage-3b,dauphine,1987-05-28,50,32000,,505,1987,Spring,26.07547169811321,27.28301886792453
dauphine/1989/prologue,prologue,dauphine,1989-05-29,50,5000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-1,stage-1,dauphine,1989-05-30,50,186000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-2,stage-2,dauphine,1989-05-31,50,186000,,603,1989,Spring,26.07547169811321,27.28301886792453
dauphine/1989/stage-3,stage-3,dauphine,1989-06-01,50,183500,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-4,stage-4,dauphine,1989-06-02,50,155700,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-5,stage-5,dauphine,1989-06-03,50,230000,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-6a,stage-6a,dauphine,1989-06-04,50,84500,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-6b,stage-6b,dauphine,1989-06-04,50,30000,,603,1989,Summer,26.07547169811321,27.28301886792453
dauphine/1989/stage-7,stage-7,dauphine,1989-06-05,50,163000,,603,1989,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-1,stage-1,dauphine,1990-05-30,50,139000,,637,1990,Spring,1508.7878787878788,28.703030303030303
dauphine/1990/stage-2,stage-2,dauphine,1990-05-31,50,183900,,637,1990,Spring,1508.7878787878788,28.703030303030303
dauphine/1990/stage-3,stage-3,dauphine,1990-06-01,50,171000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-4,stage-4,dauphine,1990-06-02,50,183000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-5,stage-5,dauphine,1990-06-03,50,196000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-6,stage-6,dauphine,1990-06-04,50,209000,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-7,stage-7,dauphine,1990-06-05,50,177500,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1990/stage-8,stage-8,dauphine,1990-06-06,50,37800,,637,1990,Summer,1508.7878787878788,28.703030303030303
dauphine/1991/prologue,prologue,dauphine,1991-06-03,50,10000,,830,1991,Summer,1508.7878787878788,28.703030303030303
